year,SLPgrad,FWdisch,sal20m,downwell,advection,wind.stress
1950,-0.495892451,NA,NA,-0.917967635,47.777,NA
1951,-1.033040317,NA,NA,0.44153383,53.313,NA
1952,-0.233236999,NA,NA,0.176134673,49.818,NA
1953,0.906367811,NA,NA,-0.074016894,58.541,NA
1954,-0.448180846,NA,NA,-0.099885229,55.92,NA
1955,0.047468979,NA,NA,0.386809286,50.403,NA
1956,-0.733838259,NA,NA,-0.293268173,49.452,NA
1957,-0.063090347,NA,NA,-0.093317108,50.996,NA
1958,0.345949937,NA,NA,-0.223997608,55.635,NA
1959,-0.11147766,NA,NA,0.072267151,55.613,0.938132576
1960,0.670280038,NA,NA,-0.449225777,56.912,4.008460606
1961,0.121319286,NA,NA,-0.319349133,59.619,-12.64071136
1962,-0.387445773,-0.372262812,NA,0.259832534,52.124,-11.84200227
1963,0.412905459,-0.173386331,NA,2.629567461,58.318,-7.576982576
1964,-0.221596519,-0.598361805,NA,-0.185487427,58.22,-14.7599947
1965,-0.304525974,-0.81594569,NA,0.360192796,50.386,-13.0835553
1966,-0.511474788,-0.696962325,NA,1.18168349,50.677,-16.85048485
1967,-0.561661504,-1.067825702,NA,1.148704035,52.128,-14.2311447
1968,-1.05152759,-0.130704779,NA,-0.623201536,54.059,2.287184848
1969,0.160007998,-0.836880918,NA,0.250066436,47.16,9.215754545
1970,0.310704092,0.112775542,NA,0.006210928,59.623,5.940226515
1971,-0.173129902,-1.320770893,31.719,0.268633467,50.858,-11.07676667
1972,-0.784234298,-1.456286863,31.995,0.058690379,48.873,-9.539237121
1973,-0.463017498,-0.588208603,NA,0.773720606,53.182,-0.782101515
1974,-0.346775246,-1.420575921,31.75966667,0.752644324,54.093,2.705037121
1975,-0.078982068,-0.495734707,31.48833333,-0.100024795,51.892,2.281011364
1976,0.103063138,-0.583765424,31.6535,-0.31052498,56.161,13.46446364
1977,0.869693548,0.622170286,30.883,-0.332997409,59.962,11.74705606
1978,0.202011806,-0.572443703,31.4485,1.368314802,55.095,-4.299150758
1979,-0.347413179,0.220048676,31.5438,-0.271642407,55.719,-2.845771212
1980,0.187785732,1.058553393,NA,0.754783131,55.2,12.35596136
1981,0.704908936,1.565787172,NA,0.018439897,58.828,6.963768939
1982,-0.033315628,-1.137526633,31.678,0.14647428,50.642,-5.537900758
1983,-0.246251,0.06931071,31.25616667,-0.682025023,59.985,10.76941364
1984,0.189770246,0.002563117,NA,-0.818095927,57.881,5.500880303
1985,0.719140453,-0.461766385,31.161,-0.077829714,51.845,-7.976681818
1986,0.56227209,-0.266552852,31.343,0.041474651,58.294,9.123761364
1987,0.376551557,0.583345286,31.0505,-1.087782614,60.031,13.87611742
1988,0.630122144,1.197484328,31.03266667,-0.922008824,53.998,12.59093712
1989,0.071633307,-0.171749764,31.687,0.026177367,50.999,-8.394063636
1990,-0.515598329,1.422867171,31.479,0.111979782,59.24,-6.064740909
1991,0.091209252,0.062674007,31.535,-0.397259721,57.231,10.53296136
1992,0.062098234,1.01890004,31.10166667,0.010317872,59.71,5.498485606
1993,0.592366602,1.236313787,31.062,0.673544264,48.728,3.348266667
1994,-0.041828957,1.262924739,31.331,0.129142554,59.718,-1.662898485
1995,-0.072474578,0.401654729,31.3025,0.033418382,54.764,8.535869697
1996,-1.128045938,-0.141560031,31.6095,-0.20747751,53.916,-1.024239394
1997,0.1008022,0.217324597,31.23266667,-0.30885731,57.198,5.517793182
1998,-0.094338683,0.417107671,31.051,0.481199658,59.582,-6.837444697
1999,0.046103349,-0.388274232,31.653,-0.486120463,54.274,-8.369412879
2000,0.356441534,1.105015115,31.02542857,-0.15229113,55.366,0.088893182
2001,0.899104097,0.053485109,31.225,-0.272133782,57.03,0.400436364
2002,0.532976618,-1.206775362,31.4695,-0.103269206,51.239,12.72037803
2003,0.064761123,0.242428447,30.88588889,-0.128595019,55.748,7.099354545
2004,-0.318916864,1.318494181,31.276,-0.38469877,54.614,-4.07677197
2005,0.477004066,2.071075741,30.94433333,-0.311319606,53.29,-4.955349242
2006,0.519473584,-0.643099686,31.12133333,0.701835131,55.42,-3.922312879
2007,-0.878417312,-0.072211508,31.578,-0.260740389,56.745,-2.027800758
2008,0.006796476,-0.144120176,31.1005,-0.522755589,51.95,0.875893182
2009,0.236447897,-0.498550738,31.37766667,0.437444975,51.94,4.582356818
2010,0.031626898,NA,31.24533333,-0.186855523,54.747,1.796381818
2011,0.452725886,NA,31.484,-0.667435292,49.459,-11.97923333
2012,-0.156079944,NA,31.3795,-0.443365357,58.846,NA